user_id,change_time,plan_name,plan_status,reason
usr_6b87a57bd775,2025-02-09 12:50:00,,trialing,existing_user
usr_b95ee57a273a,2024-12-09 20:57:00,annual_pro,active,existing_user
usr_fc7ffc4130f7,2025-01-07 02:18:00,,none,existing_user
usr_f0dbe9c02021,2025-01-25 11:14:00,monthly_pro,active,existing_user
usr_6f08473e5134,2025-01-30 02:22:00,,trialing,existing_user
usr_b783533a534b,2025-02-04 20:40:00,annual_pro,active,existing_user
usr_fcbd23c6f6df,2025-02-08 11:58:00,annual_basic,active,existing_user
usr_0d0ed31f5e17,2025-01-04 21:24:00,annual_pro,canceled,existing_user
usr_bc19e08bdfbe,2024-12-10 05:54:00,,none,existing_user
usr_aaf25a479999,2025-02-06 22:59:00,,trialing,existing_user
usr_8df7174793f4,2025-02-25 04:10:00,annual_basic,active,existing_user
usr_2b0c7bbc467f,2025-01-03 18:30:00,,none,existing_user
usr_7a0f281216b2,2024-12-28 07:03:00,,none,existing_user
usr_bc37c1c9df4a,2024-12-12 11:29:00,monthly_basic,active,existing_user
usr_7c263eee48f9,2025-02-26 23:38:00,annual_basic,active,existing_user
usr_dddebc1d0fb3,2025-01-24 02:48:00,monthly_pro,canceled,existing_user
usr_065a57484a03,2024-12-09 10:08:00,,none,existing_user
usr_f14a5d9a25cc,2025-02-10 10:13:00,monthly_basic,active,existing_user
usr_37df0d041307,2024-12-25 09:14:00,monthly_basic,active,existing_user
usr_674da8c21a11,2025-02-19 04:39:00,annual_basic,active,existing_user
usr_999627af31c9,2025-01-03 07:00:00,monthly_basic,active,existing_user
usr_76da9e57303d,2025-02-26 08:53:00,monthly_pro,active,existing_user
usr_288aedcc1067,2024-12-16 01:28:00,,trialing,existing_user
usr_7febe0d09c54,2025-01-16 19:18:00,monthly_basic,active,existing_user
usr_807a1f553710,2025-02-07 11:21:00,annual_pro,active,existing_user
usr_a7975c2edf66,2025-01-12 08:17:00,,trialing,existing_user
usr_97c482c5ea09,2024-12-04 19:23:00,monthly_pro,active,existing_user
usr_d2d6ba275df9,2025-02-12 11:57:00,,trialing,existing_user
usr_ec866edec0b6,2025-01-27 09:14:00,,trialing,existing_user
usr_5ca97cd402a5,2025-02-25 11:47:00,,trialing,existing_user
usr_75e03c96f3d1,2024-12-26 12:02:00,annual_basic,active,existing_user
usr_2688048a4117,2024-12-17 21:57:00,monthly_basic,active,existing_user
usr_9ffcb6ec8a1e,2024-12-15 21:21:00,annual_pro,active,existing_user
usr_ea9ed2e2b68f,2025-01-24 03:30:00,monthly_basic,active,existing_user
